Pick,Round,Drafter,Player
1,1,Dave,Scottie Scheffler
2,1,Alex,Rory McIlroy
3,1,Stu,Xander Schauffele
4,2,Stu,Collin Morikawa
5,2,Alex,Cameron Young
6,2,Dave,Sam Burns
7,3,Dave,Wyndham Clark
8,3,Alex,Chris Gotterup
9,3,Stu,Patrick Cantlay
10,4,Stu,Russell Henley
11,4,Alex,Ludvig Aberg
12,4,Dave,Tommy Fleetwood
13,5,Dave,Si Woo Kim
14,5,Alex,Matt Fitzpatrick
15,5,Stu,Viktor Hovland
16,6,Stu,Hideki Matsuyama
17,6,Alex,Gary Woodland
18,6,Dave,Ryan Gerard
19,7,Dave,Tom Kim
20,7,Alex,Robert MacIntyre
21,7,Stu,Justin Rose
22,8,Dave,Jacob Bridgeman
23,8,Alex,Kristoffer Reitan
24,8,Stu,Alex Fitzpatrick
