Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,1,1,2,Scottie Scheffler,-21,25,18,64,60,67,68,0,100,100,100,25
Dave,9,3,1,Viktor Hovland,-21,50,18,65,61,64,69,100,100,100,100,25
Alex,8,3,3,Collin Morikawa,-20,25,18,69,66,64,61,0,100,100,100,25
Stu,7,3,4,Matt Fitzpatrick,-19,25,18,64,66,67,64,0,100,100,100,25
Stu,18,6,T7,Alex Fitzpatrick,-17,15,18,69,66,64,64,0,0,100,100,25
Dave,21,7,T10,Ben Griffin,-16,15,18,64,66,67,67,0,0,100,100,25
Alex,11,4,T12,Russell Henley,-15,7,18,66,70,65,64,0,0,0,100,25
Dave,15,5,T12,Sam Burns,-15,7,18,66,66,66,67,0,0,0,100,25
Stu,12,4,T14,Patrick Cantlay,-14,7,18,65,66,64,71,0,0,0,100,25
Stu,19,7,T14,Keegan Bradley,-14,7,18,67,65,70,64,0,0,0,100,25
Dave,10,4,T14,Justin Thomas,-14,7,18,68,66,65,67,0,0,0,100,25
Alex,2,1,T14,Tommy Fleetwood,-14,7,18,67,64,70,65,0,0,0,100,25
Alex,17,6,T25,Brian Harman,-12,7,18,66,70,63,69,0,0,0,100,25
Dave,16,6,T25,Kurt Kitayama,-12,7,18,69,63,69,67,0,0,0,100,25
Alex,23,8,T38,Ryo Hisatsune,-10,1,18,68,70,64,68,0,0,0,100,25
Alex,5,2,T44,Si Woo Kim,-9,1,18,69,64,65,73,0,0,0,100,25
Stu,6,2,T47,Cameron Young,-8,1,18,72,71,66,63,0,0,0,100,25
Dave,24,8,T47,Jacob Bridgeman,-8,1,18,70,70,66,66,0,0,0,100,25
Stu,22,8,T51,Sahith Theegala,-7,1,18,74,67,67,65,0,0,0,100,25
Dave,3,1,T51,Xander Schauffele,-7,1,18,67,69,68,69,0,0,0,100,25
Dave,4,2,T55,Ludvig Aberg,-6,1,18,70,67,69,68,0,0,0,100,25
Alex,20,7,T55,Maverick McNealy,-6,1,18,67,64,71,72,0,0,0,100,25
Alex,14,5,69,J.T. Poston,1,1,18,67,67,71,76,0,0,0,100,25
Stu,13,5,71,Gary Woodland,5,1,18,69,70,74,72,0,0,0,100,25
