current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Viktor Hovland,-21,50,4,18,-1,65,61,64,69,100,100,100,100,6/28/2026 20:30,Travelers Championship,25
2,Scottie Scheffler,-21,25,4,18,-2,64,60,67,68,0,100,100,100,6/28/2026 20:30,Travelers Championship,25
3,Collin Morikawa,-20,25,4,18,-9,69,66,64,61,0,100,100,100,6/28/2026 20:30,Travelers Championship,25
4,Matt Fitzpatrick,-19,25,4,18,-6,64,66,67,64,0,100,100,100,6/28/2026 20:30,Travelers Championship,25
T5,Akshay Bhatia,-18,25,4,18,-3,66,62,67,67,0,100,100,100,6/28/2026 20:30,Travelers Championship,25
T5,Wyndham Clark,-18,25,4,18,-5,68,64,65,65,0,100,100,100,6/28/2026 20:30,Travelers Championship,25
T7,Alex Fitzpatrick,-17,15,4,18,-6,69,66,64,64,0,0,100,100,6/28/2026 20:30,Travelers Championship,25
T7,Corey Conners,-17,15,4,18,-7,65,68,67,63,0,0,100,100,6/28/2026 20:30,Travelers Championship,25
T7,J.J. Spaun,-17,15,4,18,-6,66,65,68,64,0,0,100,100,6/28/2026 20:30,Travelers Championship,25
T10,Ben Griffin,-16,15,4,18,-3,64,66,67,67,0,0,100,100,6/28/2026 20:30,Travelers Championship,25
T10,Robert MacIntyre,-16,15,4,18,-5,67,65,67,65,0,0,100,100,6/28/2026 20:30,Travelers Championship,25
T12,Sam Burns,-15,7,4,18,-3,66,66,66,67,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T12,Russell Henley,-15,7,4,18,-6,66,70,65,64,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T14,Keegan Bradley,-14,7,4,18,-6,67,65,70,64,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T14,Bud Cauley,-14,7,4,18,-4,64,66,70,66,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T14,Tommy Fleetwood,-14,7,4,18,-5,67,64,70,65,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T14,Nicolai Hojgaard,-14,7,4,18,-8,71,66,67,62,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T14,Justin Thomas,-14,7,4,18,-3,68,66,65,67,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T14,Denny McCarthy,-14,7,4,18,-5,67,68,66,65,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T14,Patrick Cantlay,-14,7,4,18,1,65,66,64,71,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T14,Hideki Matsuyama,-14,7,4,18,-4,67,67,66,66,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T22,Kristoffer Reitan,-13,7,4,18,-3,64,68,68,67,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T22,Keith Mitchell,-13,7,4,18,-1,68,67,63,69,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T22,Shane Lowry,-13,7,4,18,0,68,65,64,70,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T25,Justin Rose,-12,7,4,18,0,65,66,67,70,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T25,Daniel Berger,-12,7,4,18,-4,70,67,65,66,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T25,Brian Harman,-12,7,4,18,-1,66,70,63,69,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T25,Kurt Kitayama,-12,7,4,18,-3,69,63,69,67,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T25,Nick Taylor,-12,7,4,18,-5,68,71,64,65,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T30,Sungjae Im,-11,1,4,18,-1,68,66,66,69,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T30,Andrew Novak,-11,1,4,18,-7,67,72,67,63,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T30,Michael Kim,-11,1,4,18,-4,68,67,68,66,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T30,Chris Gotterup,-11,1,4,18,0,71,65,63,70,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
T30,Matt McCarty,-11,1,4,18,-3,69,70,63,67,0,0,0,100,6/28/2026 20:30,Travelers Championship,25
