Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Alex,Tommy Fleetwood
3,1,Dave,Xander Schauffele
4,2,Dave,Ludvig Aberg
5,2,Alex,Si Woo Kim
6,2,Stu,Cameron Young
7,3,Stu,Matt Fitzpatrick
8,3,Alex,Collin Morikawa
9,3,Dave,Viktor Hovland
10,4,Dave,Justin Thomas
11,4,Alex,Russell Henley
12,4,Stu,Patrick Cantlay
13,5,Stu,Gary Woodland
14,5,Alex,J.T. Poston
15,5,Dave,Sam Burns
16,6,Dave,Kurt Kitayama
17,6,Alex,Brian Harman
18,6,Stu,Alex Fitzpatrick
19,7,Stu,Keegan Bradley
20,7,Alex,Maverick McNealy
21,7,Dave,Ben Griffin
22,8,Stu,Sahith Theegala
23,8,Alex,Ryo Hisatsune
24,8,Dave,Jacob Bridgeman
