Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Dave,9,3,T5,Tommy Fleetwood,-11,25,18,67,67,70,69,0,100,100,100,18
Alex,18,6,T5,J.J. Spaun,-11,25,18,69,70,65,69,0,100,100,100,18
Dave,24,8,T5,Sungjae Im,-11,25,18,64,69,70,70,0,100,100,100,18
Dave,4,2,T8,Ludvig Aberg,-10,15,18,69,69,70,66,0,0,100,100,18
Dave,15,5,T10,Patrick Cantlay,-9,15,18,72,68,66,69,0,0,100,100,18
Stu,2,1,T10,Cameron Young,-9,15,18,68,70,63,74,0,0,100,100,18
Stu,17,6,13,Justin Thomas,-8,7,18,67,68,69,72,0,0,0,100,18
Dave,10,4,T14,Min Woo Lee,-7,7,18,72,69,72,64,0,0,0,100,18
Alex,12,4,T14,Chris Gotterup,-7,7,18,72,71,65,69,0,0,0,100,18
Dave,21,7,T17,Gary Woodland,-6,7,18,71,70,68,69,0,0,0,100,18
Alex,1,1,T19,Rory McIlroy,-5,7,18,70,67,75,67,0,0,0,100,18
Alex,19,7,T19,Kurt Kitayama,-5,7,18,72,67,66,74,0,0,0,100,18
Dave,16,6,T24,Harris English,-4,7,18,68,69,73,70,0,0,0,100,18
Stu,8,3,T24,Adam Scott,-4,7,18,76,69,66,69,0,0,0,100,18
Alex,22,8,T31,Tony Finau,-3,1,18,67,72,71,71,0,0,0,100,18
Alex,13,5,T37,Sam Burns,-2,1,18,74,69,75,64,0,0,0,100,18
Stu,23,8,T48,Michael Kim,0,1,18,69,72,72,71,0,0,0,100,18
Stu,5,2,T52,Matt Fitzpatrick,1,1,18,74,70,69,72,0,0,0,100,18
Stu,20,7,T52,Max Homa,1,1,18,73,70,72,70,0,0,0,100,18
Dave,3,1,T60,Xander Schauffele,2,1,18,69,73,72,72,0,0,0,100,18
Stu,11,4,T60,Robert MacIntyre,2,1,18,74,70,69,73,0,0,0,100,18
Alex,7,3,T63,Ben Griffin,3,1,18,69,73,75,70,0,0,0,100,18
Alex,6,2,T65,Si Woo Kim,4,1,18,70,73,71,74,0,0,0,100,18
Stu,14,5,68,Jason Day,7,1,18,75,69,72,75,0,0,0,100,18
