current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Kristoffer Reitan,-15,50,4,18,-2,66,70,64,69,100,100,100,100,5/10/2026 18:05,Truist Championship,18
T2,Nicolai Hojgaard,-13,25,4,18,-3,66,70,67,68,0,100,100,100,5/10/2026 18:05,Truist Championship,18
T2,Rickie Fowler,-13,25,4,18,-6,74,63,69,65,0,100,100,100,5/10/2026 18:05,Truist Championship,18
4,Alex Fitzpatrick,-12,25,4,18,2,67,68,64,73,0,100,100,100,5/10/2026 18:05,Truist Championship,18
T5,Tommy Fleetwood,-11,25,4,18,-2,67,67,70,69,0,100,100,100,5/10/2026 18:05,Truist Championship,18
T5,J.J. Spaun,-11,25,4,18,-2,69,70,65,69,0,100,100,100,5/10/2026 18:05,Truist Championship,18
T5,Sungjae Im,-11,25,4,18,-1,64,69,70,70,0,100,100,100,5/10/2026 18:05,Truist Championship,18
T8,Ludvig Aberg,-10,15,4,18,-5,69,69,70,66,0,0,100,100,5/10/2026 18:05,Truist Championship,18
T8,Harry Hall,-10,15,4,18,-4,66,72,69,67,0,0,100,100,5/10/2026 18:05,Truist Championship,18
T10,Patrick Cantlay,-9,15,4,18,-2,72,68,66,69,0,0,100,100,5/10/2026 18:05,Truist Championship,18
T10,Matt McCarty,-9,15,4,18,-1,63,74,68,70,0,0,100,100,5/10/2026 18:05,Truist Championship,18
T10,Cameron Young,-9,15,4,18,3,68,70,63,74,0,0,100,100,5/10/2026 18:05,Truist Championship,18
13,Justin Thomas,-8,7,4,18,1,67,68,69,72,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T14,Chris Gotterup,-7,7,4,18,-2,72,71,65,69,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T14,Nick Taylor,-7,7,4,18,-1,66,73,68,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T14,Min Woo Lee,-7,7,4,18,-7,72,69,72,64,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T17,Gary Woodland,-6,7,4,18,-2,71,70,68,69,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T17,Alex Smalley,-6,7,4,18,-5,75,69,68,66,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T19,Austin Smotherman,-5,7,4,18,-5,73,69,71,66,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T19,Kurt Kitayama,-5,7,4,18,3,72,67,66,74,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T19,Rory McIlroy,-5,7,4,18,-4,70,67,75,67,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T19,Sudarshan Yellamaraju,-5,7,4,18,-1,71,69,69,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T19,Keegan Bradley,-5,7,4,18,-4,69,69,74,67,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T24,David Lipsky,-4,7,4,18,2,67,69,71,73,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T24,J.T. Poston,-4,7,4,18,0,73,69,67,71,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T24,Harris English,-4,7,4,18,-1,68,69,73,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T24,Pierceson Coody,-4,7,4,18,-5,73,70,71,66,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T24,Andrew Novak,-4,7,4,18,-2,73,71,67,69,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T24,Patrick Rodgers,-4,7,4,18,-4,69,71,73,67,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T24,Adam Scott,-4,7,4,18,-2,76,69,66,69,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T31,Viktor Hovland,-3,1,4,18,-1,69,73,69,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T31,Tony Finau,-3,1,4,18,0,67,72,71,71,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T31,Corey Conners,-3,1,4,18,1,67,72,70,72,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T31,Brian Harman,-3,1,4,18,-2,74,69,69,69,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T31,Alex Noren,-3,1,4,18,-1,71,72,68,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T31,Nico Echavarria,-3,1,4,18,0,73,67,70,71,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T37,Matt Wallace,-2,1,4,18,0,71,71,69,71,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T37,Bud Cauley,-2,1,4,18,2,72,72,65,73,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T37,Andrew Putnam,-2,1,4,18,0,71,72,68,71,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T37,Taylor Pendrith,-2,1,4,18,-1,71,71,70,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T37,Sam Burns,-2,1,4,18,-7,74,69,75,64,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T37,Akshay Bhatia,-2,1,4,18,-1,68,70,74,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T37,Lucas Glover,-2,1,4,18,3,68,72,68,74,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T37,Maverick McNealy,-2,1,4,18,-4,75,69,71,67,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T45,Ryo Hisatsune,-1,1,4,18,1,73,70,68,72,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T45,Daniel Berger,-1,1,4,18,-1,71,74,68,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T45,Justin Rose,-1,1,4,18,-1,71,70,72,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T48,Webb Simpson,0,1,4,18,-2,75,70,70,69,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T48,Aldrich Potgieter,0,1,4,18,-3,74,73,69,68,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T48,Denny McCarthy,0,1,4,18,-3,72,75,69,68,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T48,Michael Kim,0,1,4,18,0,69,72,72,71,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T52,Jhonattan Vegas,1,1,4,18,1,68,76,69,72,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T52,Matt Fitzpatrick,1,1,4,18,1,74,70,69,72,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T52,Chandler Blanchet,1,1,4,18,2,73,69,70,73,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T52,Jacob Bridgeman,1,1,4,18,7,69,70,68,78,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T52,Brian Campbell,1,1,4,18,-1,72,72,71,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T52,Mackenzie Hughes,1,1,4,18,-5,71,75,73,66,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T52,Max Homa,1,1,4,18,-1,73,70,72,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T52,Jordan Spieth,1,1,4,18,4,71,71,68,75,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T60,Ricky Castillo,2,1,4,18,4,68,74,69,75,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T60,Xander Schauffele,2,1,4,18,1,69,73,72,72,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T60,Robert MacIntyre,2,1,4,18,2,74,70,69,73,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T63,Sepp Straka,3,1,4,18,4,66,73,73,75,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T63,Ben Griffin,3,1,4,18,-1,69,73,75,70,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T65,Ryan Gerard,4,1,4,18,-2,71,72,76,69,0,0,0,100,5/10/2026 18:05,Truist Championship,18
T65,Si Woo Kim,4,1,4,18,3,70,73,71,74,0,0,0,100,5/10/2026 18:05,Truist Championship,18
67,Ryan Fox,6,1,4,18,1,73,76,69,72,0,0,0,100,5/10/2026 18:05,Truist Championship,18
68,Jason Day,7,1,4,18,4,75,69,72,75,0,0,0,100,5/10/2026 18:05,Truist Championship,18
69,Sahith Theegala,8,1,4,18,6,72,71,72,77,0,0,0,100,5/10/2026 18:05,Truist Championship,18
70,Sam Stevens,9,1,4,18,3,74,75,70,74,0,0,0,100,5/10/2026 18:05,Truist Championship,18
71,Hideki Matsuyama,11,1,4,18,5,72,75,72,76,0,0,0,100,5/10/2026 18:05,Truist Championship,18
72,Tom Hoge,13,1,4,18,7,70,73,76,78,0,0,0,100,5/10/2026 18:05,Truist Championship,18
