Pick,Round,Drafter,Player
1,1,Alex,Rory McIlroy
2,1,Stu,Cameron Young
3,1,Dave,Xander Schauffele
4,2,Dave,Ludvig Aberg
5,2,Stu,Matt Fitzpatrick
6,2,Alex,Si Woo Kim
7,3,Alex,Ben Griffin
8,3,Stu,Adam Scott
9,3,Dave,Tommy Fleetwood
10,4,Dave,Min Woo Lee
11,4,Stu,Robert MacIntyre
12,4,Alex,Chris Gotterup
13,5,Alex,Sam Burns
14,5,Stu,Jason Day
15,5,Dave,Patrick Cantlay
16,6,Dave,Harris English
17,6,Stu,Justin Thomas
18,6,Alex,J.J. Spaun
19,7,Alex,Kurt Kitayama
20,7,Stu,Max Homa
21,7,Dave,Gary Woodland
22,8,Alex,Tony Finau
23,8,Stu,Michael Kim
24,8,Dave,Sungjae Im
