Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Dave,9,3,1,Wyndham Clark,-4,50,18,64,69,70,73,100,100,100,100,24
Dave,15,5,2,Sam Burns,-3,25,18,71,68,71,67,0,100,100,100,24
Alex,1,1,T4,Scottie Scheffler,0,25,18,72,68,69,71,0,100,100,100,24
Stu,14,5,T7,Tyrrell Hatton,1,15,18,74,68,72,67,0,0,100,100,24
Alex,7,3,T11,Tommy Fleetwood,2,7,18,70,71,70,71,0,0,0,100,24
Stu,5,2,T11,Xander Schauffele,2,7,18,71,66,73,72,0,0,0,100,24
Stu,11,4,T17,Ludvig Aberg,3,7,18,69,72,76,66,0,0,0,100,24
Stu,17,6,T17,Collin Morikawa,3,7,18,73,65,73,72,0,0,0,100,24
Dave,4,2,22,Matt Fitzpatrick,4,7,18,67,70,74,73,0,0,0,100,24
Alex,13,5,CUT,Patrick Reed,5,0,0,72,73,,,0,0,0,0,24
Stu,20,7,T23,Jackson Koivun,5,7,18,72,71,74,68,0,0,0,100,24
Dave,21,7,CUT,Bryson DeChambeau,5,0,0,70,75,,,0,0,0,0,24
Alex,18,6,CUT,Patrick Cantlay,6,0,0,74,72,,,0,0,0,0,24
Dave,16,6,CUT,Si Woo Kim,6,0,0,77,69,,,0,0,0,0,24
Stu,2,1,T32,Rory McIlroy,6,1,18,69,71,73,73,0,0,0,100,24
Dave,3,1,CUT,Jon Rahm,6,0,0,68,78,,,0,0,0,0,24
Dave,24,8,T32,Brian Harman,6,1,18,69,71,73,73,0,0,0,100,24
Alex,19,7,T39,Robert MacIntyre,7,1,18,70,74,73,70,0,0,0,100,24
Stu,23,8,WD,Jason Day,7,0,0,,,,,0,0,0,0,24
Alex,12,4,T43,Chris Gotterup,8,1,18,75,69,73,71,0,0,0,100,24
Alex,6,2,T43,Cameron Young,8,1,18,72,70,73,73,0,0,0,100,24
Stu,8,3,CUT,Brooks Koepka,10,0,0,73,77,,,0,0,0,0,24
Alex,22,8,CUT,Harry Hall,11,0,0,74,77,,,0,0,0,0,24
Dave,10,4,T65,Russell Henley,14,1,18,70,73,80,71,0,0,0,100,24
