current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Wyndham Clark,-4,50,4,18,3,64,69,70,73,100,100,100,100,6/21/2026 18:51,U.S. Open,24
2,Sam Burns,-3,25,4,18,-3,71,68,71,67,0,100,100,100,6/21/2026 18:51,U.S. Open,24
3,Tom Kim,-1,25,4,18,0,70,67,72,70,0,100,100,100,6/21/2026 18:51,U.S. Open,24
T4,Keith Mitchell,0,25,4,18,0,70,70,70,70,0,100,100,100,6/21/2026 18:51,U.S. Open,24
T4,Scottie Scheffler,0,25,4,18,1,72,68,69,71,0,100,100,100,6/21/2026 18:51,U.S. Open,24
T4,J.T. Poston,0,25,4,18,-3,71,71,71,67,0,100,100,100,6/21/2026 18:51,U.S. Open,24
T7,Sam Stevens,1,15,4,18,2,68,69,72,72,0,0,100,100,6/21/2026 18:51,U.S. Open,24
T7,Tyrrell Hatton,1,15,4,18,-3,74,68,72,67,0,0,100,100,6/21/2026 18:51,U.S. Open,24
T7,Gary Woodland,1,15,4,18,-2,67,73,73,68,0,0,100,100,6/21/2026 18:51,U.S. Open,24
T7,Joaquin Niemann,1,15,4,18,-4,78,65,72,66,0,0,100,100,6/21/2026 18:51,U.S. Open,24
T11,Justin Rose,2,7,4,18,-2,71,70,73,68,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T11,Tommy Fleetwood,2,7,4,18,1,70,71,70,71,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T11,Xander Schauffele,2,7,4,18,2,71,66,73,72,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T11,Sahith Theegala,2,7,4,18,3,72,67,70,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T11,Aaron Rai,2,7,4,18,-1,74,67,72,69,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T11,John Parry,2,7,4,18,-1,71,71,71,69,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T17,Ludvig Aberg,3,7,4,18,-4,69,72,76,66,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T17,Justin Thomas,3,7,4,18,-1,71,68,75,69,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T17,Ben Griffin,3,7,4,18,-1,72,70,72,69,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T17,Akshay Bhatia,3,7,4,18,0,70,70,73,70,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T17,Collin Morikawa,3,7,4,18,2,73,65,73,72,0,0,0,100,6/21/2026 18:51,U.S. Open,24
22,Matt Fitzpatrick,4,7,4,18,3,67,70,74,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T23,Alex Fitzpatrick,5,7,4,18,3,71,69,72,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T23,Ryan Fox,5,7,4,18,-2,70,73,74,68,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T23,Ben James,5,7,4,18,-3,69,72,77,67,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T23,Ben Kohles,5,7,4,18,0,70,71,74,70,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T23,Pierceson Coody,5,7,4,18,1,72,71,71,71,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T23,Emiliano Grillo,5,7,4,18,5,73,70,67,75,0,0,0,100,6/21/2026 18:51,U.S. Open,24
CUT,Ryan Gerard,5,0,2,0,0,73,72,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
T23,Jackson Koivun,5,7,4,18,-2,72,71,74,68,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T23,Corey Conners,5,7,4,18,3,69,72,71,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T23,Ryder Cowan,5,7,4,18,3,68,72,72,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
CUT,Jackson Suber,5,0,2,0,0,74,71,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Nick Taylor,5,0,2,0,0,74,71,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Sudarshan Yellamaraju,5,0,2,0,0,73,72,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Rickie Fowler,5,0,2,0,0,71,74,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Patrick Reed,5,0,2,0,0,72,73,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Andrew Novak,5,0,2,0,0,73,72,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Matthew Jordan,5,0,2,0,0,72,73,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Billy Horschel,5,0,2,0,0,73,72,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Harris English,5,0,2,0,0,72,73,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Filippo Celli,5,0,2,0,0,75,70,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Bryson DeChambeau,5,0,2,0,0,70,75,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Viktor Hovland,5,0,2,0,0,76,69,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
T32,Maverick McNealy,6,1,4,18,3,72,68,73,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T32,Keegan Bradley,6,1,4,18,4,70,71,71,74,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T32,Rory McIlroy,6,1,4,18,3,69,71,73,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T32,Max McGreevy,6,1,4,18,2,68,73,73,72,0,0,0,100,6/21/2026 18:51,U.S. Open,24
CUT,Patrick Cantlay,6,0,2,0,0,74,72,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Cole Hammer,6,0,2,0,0,73,73,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Lucas Herbert,6,0,2,0,0,74,72,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Shane Lowry,6,0,2,0,0,73,73,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
T32,Brian Harman,6,1,4,18,3,69,71,73,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T32,Zac Blair,6,1,4,18,3,71,70,72,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
CUT,Kristoffer Reitan,6,0,2,0,0,70,76,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
T32,Dustin Johnson,6,1,4,18,2,66,77,71,72,0,0,0,100,6/21/2026 18:51,U.S. Open,24
CUT,Jack Schoenberger,6,0,2,0,0,73,73,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Alex Noren,6,0,2,0,0,74,72,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Carlos Ortiz,6,0,2,0,0,72,74,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Nathan Kimsey,6,0,2,0,0,76,70,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Cameron Smith,6,0,2,0,0,75,71,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Jon Rahm,6,0,2,0,0,68,78,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Si Woo Kim,6,0,2,0,0,77,69,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Giuseppe Puebla,7,0,2,0,0,74,73,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Manav Shah,7,0,2,0,0,73,74,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Sepp Straka,7,0,2,0,0,72,75,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Jimmy Stanger,7,0,2,0,0,74,73,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
T39,Jacob Bridgeman,7,1,4,18,-1,73,71,74,69,0,0,0,100,6/21/2026 18:51,U.S. Open,24
CUT,Bryan Lee,7,0,2,0,0,73,74,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
T39,Robert MacIntyre,7,1,4,18,0,70,74,73,70,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T39,Miles Russell,7,1,4,18,0,72,71,74,70,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T39,Johnny Keefer,7,1,4,18,0,71,70,76,70,0,0,0,100,6/21/2026 18:51,U.S. Open,24
CUT,Min Woo Lee,7,0,2,0,0,74,73,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Brandon Wu,7,0,2,0,0,78,69,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Kaito Onishi,7,0,2,0,0,77,70,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Adrien Saddier,7,0,2,0,0,72,75,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
WD,Jason Day,7,0,1,0,0,,,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Jake Knapp,8,0,2,0,0,77,71,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Alejandro Tosti,8,0,2,0,0,78,70,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,J.J. Spaun,8,0,2,0,0,77,71,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
T43,Michael Brennan,8,1,4,18,2,72,71,73,72,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T43,Harry Higgs,8,1,4,18,2,71,68,77,72,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T43,Laurie Canter,8,1,4,18,3,72,72,71,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T43,Chris Gotterup,8,1,4,18,1,75,69,73,71,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T43,Cameron Young,8,1,4,18,3,72,70,73,73,0,0,0,100,6/21/2026 18:51,U.S. Open,24
CUT,Mason Howell,8,0,2,0,0,78,70,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Marcelo Rozo,8,0,2,0,0,74,74,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
T43,Niklas Norgaard,8,1,4,18,4,71,70,73,74,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T43,Michael Kim,8,1,4,18,5,71,72,70,75,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T43,Sungjae Im,8,1,4,18,5,74,68,71,75,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T43,Max Greyserman,8,1,4,18,0,69,73,76,70,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T43,Ryo Hisatsune,8,1,4,18,5,71,69,73,75,0,0,0,100,6/21/2026 18:51,U.S. Open,24
CUT,Ben Silverman,8,0,2,0,0,74,74,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
CUT,Adam Scott,8,0,2,0,0,73,75,,,0,0,0,0,6/21/2026 18:51,U.S. Open,24
T53,Adrien Dumont De Chassart,9,1,4,18,0,71,71,77,70,0,0,0,100,6/21/2026 18:51,U.S. Open,24
T53,Angel Hidalgo Portillo,9,1,4,18,2,69,74,74,72,0,0,0,100,6/21/2026 18:51,U.S. Open,24
