Pick,Round,Drafter,Player
1,1,Alex,Scottie Scheffler
2,1,Stu,Rory McIlroy
3,1,Dave,Jon Rahm
4,2,Dave,Matt Fitzpatrick
5,2,Stu,Xander Schauffele
6,2,Alex,Cameron Young
7,3,Alex,Tommy Fleetwood
8,3,Stu,Brooks Koepka
9,3,Dave,Wyndham Clark
10,4,Dave,Russell Henley
11,4,Stu,Ludvig Aberg
12,4,Alex,Chris Gotterup
13,5,Alex,Patrick Reed
14,5,Stu,Tyrrell Hatton
15,5,Dave,Sam Burns
16,6,Dave,Si Woo Kim
17,6,Stu,Collin Morikawa
18,6,Alex,Patrick Cantlay
19,7,Alex,Robert MacIntyre
20,7,Stu,Jackson Koivun
21,7,Dave,Bryson DeChambeau
22,8,Alex,Harry Hall
23,8,Stu,Jason Day
24,8,Dave,Brian Harman
