Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Alex,1,1,T2,Robert MacIntyre,-16,25,18,66,64,72,70,0,100,100,100,13
Dave,2,1,T5,Ludvig Aberg,-15,25,18,67,67,69,70,0,100,100,100,13
Alex,12,4,T8,Ryo Hisatsune,-13,15,18,68,68,67,72,0,0,100,100,13
Stu,4,2,T10,Tommy Fleetwood,-11,15,18,67,70,71,69,0,0,100,100,13
Alex,6,2,T10,Si Woo Kim,-11,15,18,70,70,70,67,0,0,100,100,13
Stu,10,4,T14,Sudarshan Yellamaraju,-10,7,18,69,73,66,70,0,0,0,100,13
Stu,24,8,T14,John Parry,-10,7,18,66,70,73,69,0,0,0,100,13
Dave,23,8,T14,Sami Valimaki,-10,7,18,69,70,69,70,0,0,0,100,13
Dave,8,3,T21,Hideki Matsuyama,-9,7,18,70,69,70,70,0,0,0,100,13
Stu,9,3,T21,Maverick McNealy,-9,7,18,67,74,67,71,0,0,0,100,13
Alex,19,7,T28,Nick Taylor,-8,1,18,70,72,69,69,0,0,0,100,13
Dave,17,6,T30,Alex Noren,-7,1,18,70,69,70,72,0,0,0,100,13
Stu,15,5,T39,Brian Harman,-5,1,18,72,69,71,71,0,0,0,100,13
Alex,13,5,T49,Thorbjorn Olesen,-4,1,18,69,66,75,74,0,0,0,100,13
Stu,21,7,T49,Tony Finau,-4,1,18,66,69,71,78,0,0,0,100,13
Stu,3,1,CUT,Russell Henley,-1,0,0,72,71,,,0,0,0,0,13
Dave,11,4,CUT,Keith Mitchell,-1,0,0,74,69,,,0,0,0,0,13
Alex,18,6,CUT,Denny McCarthy,-1,0,0,73,70,,,0,0,0,0,13
Dave,5,2,CUT,Sepp Straka,0,0,0,72,72,,,0,0,0,0,13
Alex,7,3,T63,Jordan Spieth,0,1,18,71,71,72,74,0,0,0,100,13
Dave,14,5,CUT,Michael Thorbjornsen,0,0,0,70,74,,,0,0,0,0,13
Stu,16,6,CUT,Rickie Fowler,1,0,0,70,75,,,0,0,0,0,13
Alex,22,8,CUT,Emiliano Grillo,1,0,0,71,74,,,0,0,0,0,13
Dave,20,7,T67,Will Zalatoris,2,1,18,67,74,77,72,0,0,0,100,13
