current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,J.J. Spaun,-17,50,4,18,-5,69,69,66,67,100,100,100,100,4/5/2026 17:20,Valero Texas Open,13
T2,Robert MacIntyre,-16,25,4,18,-2,66,64,72,70,0,100,100,100,4/5/2026 17:20,Valero Texas Open,13
T2,Michael Kim,-16,25,4,18,-3,72,65,66,69,0,100,100,100,4/5/2026 17:20,Valero Texas Open,13
T2,Matt Wallace,-16,25,4,18,-4,71,69,64,68,0,100,100,100,4/5/2026 17:20,Valero Texas Open,13
T5,Ludvig Aberg,-15,25,4,18,-2,67,67,69,70,0,100,100,100,4/5/2026 17:20,Valero Texas Open,13
T5,Andrew Putnam,-15,25,4,18,-2,66,70,67,70,0,100,100,100,4/5/2026 17:20,Valero Texas Open,13
7,Kevin Yu,-14,15,4,18,-3,69,70,66,69,0,0,100,100,4/5/2026 17:20,Valero Texas Open,13
T8,Ryo Hisatsune,-13,15,4,18,0,68,68,67,72,0,0,100,100,4/5/2026 17:20,Valero Texas Open,13
T8,Chandler Phillips,-13,15,4,18,-1,72,66,66,71,0,0,100,100,4/5/2026 17:20,Valero Texas Open,13
T10,Si Woo Kim,-11,15,4,18,-5,70,70,70,67,0,0,100,100,4/5/2026 17:20,Valero Texas Open,13
T10,Austin Eckroat,-11,15,4,18,-2,68,70,69,70,0,0,100,100,4/5/2026 17:20,Valero Texas Open,13
T10,Tommy Fleetwood,-11,15,4,18,-3,67,70,71,69,0,0,100,100,4/5/2026 17:20,Valero Texas Open,13
T10,Kristoffer Reitan,-11,15,4,18,-2,70,68,69,70,0,0,100,100,4/5/2026 17:20,Valero Texas Open,13
T14,John Parry,-10,7,4,18,-3,66,70,73,69,0,0,0,100,4/5/2026 17:20,Valero Texas Open,13
T14,Eric Cole,-10,7,4,18,-2,67,72,69,70,0,0,0,100,4/5/2026 17:20,Valero Texas Open,13
T14,Andrew Novak,-10,7,4,18,-3,68,70,71,69,0,0,0,100,4/5/2026 17:20,Valero Texas Open,13
T14,Davis Thompson,-10,7,4,18,-1,66,73,68,71,0,0,0,100,4/5/2026 17:20,Valero Texas Open,13
T14,Alex Smalley,-10,7,4,18,-1,68,68,71,71,0,0,0,100,4/5/2026 17:20,Valero Texas Open,13
T14,Sami Valimaki,-10,7,4,18,-2,69,70,69,70,0,0,0,100,4/5/2026 17:20,Valero Texas Open,13
T14,Sudarshan Yellamaraju,-10,7,4,18,-2,69,73,66,70,0,0,0,100,4/5/2026 17:20,Valero Texas Open,13
T21,Maverick McNealy,-9,7,4,18,-1,67,74,67,71,0,0,0,100,4/5/2026 17:20,Valero Texas Open,13
T21,Bud Cauley,-9,7,4,18,0,69,66,72,72,0,0,0,100,4/5/2026 17:20,Valero Texas Open,13
