Pick,Round,Drafter,Player
1,1,Alex,Robert MacIntyre
2,1,Dave,Ludvig Aberg
3,1,Stu,Russell Henley
4,2,Stu,Tommy Fleetwood
5,2,Dave,Sepp Straka
6,2,Alex,Si Woo Kim
7,3,Alex,Jordan Spieth
8,3,Dave,Hideki Matsuyama
9,3,Stu,Maverick McNealy
10,4,Stu,Sudarshan Yellamaraju
11,4,Dave,Keith Mitchell
12,4,Alex,Ryo Hisatsune
13,5,Alex,Thorbjorn Olesen
14,5,Dave,Michael Thorbjornsen
15,5,Stu,Brian Harman
16,6,Stu,Rickie Fowler
17,6,Dave,Alex Noren
18,6,Alex,Denny McCarthy
19,7,Alex,Nick Taylor
20,7,Dave,Will Zalatoris
21,7,Stu,Tony Finau
22,8,Alex,Emiliano Grillo
23,8,Dave,Sami Valimaki
24,8,Stu,John Parry
