Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Dave,2,1,1,Matt Fitzpatrick,-11,50,18,68,69,68,68,100,100,100,100,11
Stu,1,1,T4,Xander Schauffele,-8,25,18,68,72,71,65,0,100,100,100,11
Alex,9,3,T7,Patrick Cantlay,-7,15,18,70,69,71,67,0,0,100,100,11
Stu,12,4,T11,Jordan Spieth,-6,7,18,69,70,71,68,0,0,0,100,11
Stu,6,2,T14,Corey Conners,-5,7,18,69,69,70,71,0,0,0,100,11
Dave,5,2,T14,Jacob Bridgeman,-5,7,18,68,70,72,69,0,0,0,100,11
Stu,7,3,T18,Brooks Koepka,-4,7,18,71,67,71,71,0,0,0,100,11
Alex,4,2,T30,Justin Thomas,-2,1,18,72,69,73,68,0,0,0,100,11
Dave,8,3,T30,Ryo Hisatsune,-2,1,18,71,71,69,71,0,0,0,100,11
Alex,24,8,T30,Seamus Power,-2,1,18,72,68,70,72,0,0,0,100,11
Dave,17,6,T40,Blades Brown,-1,1,18,69,71,73,70,0,0,0,100,11
Alex,16,6,T40,Patrick Rodgers,-1,1,18,71,72,68,72,0,0,0,100,11
Stu,13,5,T55,Keegan Bradley,1,1,18,73,69,72,71,0,0,0,100,11
Stu,17,6,T55,Nicolai Hojgaard,1,1,18,69,70,74,72,0,0,0,100,11
Dave,20,7,T64,Joel Dahmen,2,1,18,72,70,71,73,0,0,0,100,11
Dave,14,5,CUT,Ben Griffin,2,0,0,70,74,,,0,0,0,0,11
Alex,3,1,CUT,Viktor Hovland,3,0,0,70,75,,,0,0,0,0,11
Alex,15,5,CUT,Nick Taylor,4,0,0,72,74,,,0,0,0,0,11
Stu,19,7,CUT,Mac Meissner,6,0,0,74,74,,,0,0,0,0,11
Alex,21,7,CUT,J.J. Spaun,6,0,0,77,71,,,0,0,0,0,11
Dave,23,8,CUT,Davis Riley,6,0,0,76,72,,,0,0,0,0,11
Dave,11,4,CUT,Sahith Theegala,7,0,0,77,72,,,0,0,0,0,11
Stu,22,8,CUT,Adam Hadwin,7,0,0,76,73,,,0,0,0,0,11
Alex,10,4,CUT,Austin Smotherman,8,0,0,71,79,,,0,0,0,0,11
