current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Matt Fitzpatrick,-11,50,4,18,-3,68,69,68,68,100,100,100,100,3/22/2026 17:55,Valspar Championship,11
2,David Lipsky,-10,25,4,18,-1,69,65,70,70,0,100,100,100,3/22/2026 17:55,Valspar Championship,11
3,Jordan Smith,-9,25,4,18,-5,69,68,72,66,0,100,100,100,3/22/2026 17:55,Valspar Championship,11
T4,Sungjae Im,-8,25,4,18,3,64,69,69,74,0,100,100,100,3/22/2026 17:55,Valspar Championship,11
T4,Marco Penge,-8,25,4,18,0,69,68,68,71,0,100,100,100,3/22/2026 17:55,Valspar Championship,11
T4,Xander Schauffele,-8,25,4,18,-6,68,72,71,65,0,100,100,100,3/22/2026 17:55,Valspar Championship,11
T7,Patrick Cantlay,-7,15,4,18,-4,70,69,71,67,0,0,100,100,3/22/2026 17:55,Valspar Championship,11
T7,Emiliano Grillo,-7,15,4,18,-6,71,70,71,65,0,0,100,100,3/22/2026 17:55,Valspar Championship,11
T7,S.H. Kim,-7,15,4,18,-1,72,68,67,70,0,0,100,100,3/22/2026 17:55,Valspar Championship,11
T7,Stephan Jaeger,-7,15,4,18,-5,71,72,68,66,0,0,100,100,3/22/2026 17:55,Valspar Championship,11
T11,Matthieu Pavon,-6,7,4,18,-3,70,70,70,68,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T11,A.J. Ewart,-6,7,4,18,-4,71,72,68,67,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T11,Jordan Spieth,-6,7,4,18,-3,69,70,71,68,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T14,Jacob Bridgeman,-5,7,4,18,-2,68,70,72,69,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T14,Corey Conners,-5,7,4,18,0,69,69,70,71,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T14,Gary Woodland,-5,7,4,18,-1,70,68,71,70,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T14,Hank Lebioda,-5,7,4,18,-4,71,68,73,67,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T18,Brandt Snedeker,-4,7,4,18,5,65,72,67,76,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T18,Brooks Koepka,-4,7,4,18,0,71,67,71,71,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T18,Danny Walker,-4,7,4,18,-1,74,64,72,70,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T18,Chandler Blanchet,-4,7,4,18,1,69,66,73,72,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T18,Tony Finau,-4,7,4,18,0,69,69,71,71,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T18,Tom Kim,-4,7,4,18,1,69,70,69,72,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
T18,Lee Hodges,-4,7,4,18,-2,72,70,69,69,0,0,0,100,3/22/2026 17:55,Valspar Championship,11
