Pick,Round,Drafter,Player
1,1,Stu,Xander Schauffele
2,1,Dave,Matt Fitzpatrick
3,1,Alex,Viktor Hovland
4,2,Alex,Justin Thomas
5,2,Dave,Jacob Bridgeman
6,2,Stu,Corey Conners
7,3,Stu,Brooks Koepka
8,3,Dave,Ryo Hisatsune
9,3,Alex,Patrick Cantlay
10,4,Alex,Austin Smotherman
11,4,Dave,Sahith Theegala
12,4,Stu,Jordan Spieth
13,5,Stu,Keegan Bradley
14,5,Dave,Ben Griffin
15,5,Alex,Nick Taylor
16,6,Alex,Patrick Rodgers
17,6,Dave,Blades Brown
17,6,Stu,Nicolai Hojgaard
19,7,Stu,Mac Meissner
20,7,Dave,Joel Dahmen
21,7,Alex,J.J. Spaun
22,8,Stu,Adam Hadwin
23,8,Dave,Davis Riley
24,8,Alex,Seamus Power
