Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Dave,Cameron Young
3,1,Alex,Hideki Matsuyama
4,2,Alex,Ben Griffin
5,2,Dave,Si Woo Kim
6,2,Stu,Xander Schauffele
7,3,Stu,Maverick McNealy
8,3,Dave,Chris Gotterup
9,3,Alex,Jordan Spieth
10,4,Alex,Matt Fitzpatrick
11,4,Dave,Sam Burns
12,4,Stu,Sahith Theegala
13,5,Stu,Viktor Hovland
14,5,Dave,Jake Knapp
15,5,Alex,Daniel Berger
16,6,Alex,Andrew Novak
17,6,Dave,Nick Taylor
18,6,Stu,Brooks Koepka
19,7,Stu,Matt McCarty
20,7,Dave,Pierceson Coody
21,7,Alex,Min Woo Lee
22,8,Stu,Michael Brennan
23,8,Dave,Joel Dahmen
24,8,Alex,Eric Cole
