current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Chris Gotterup,-16,50,4,18,-7,63,71,70,64,100,100,100,100,2/8/2026 16:10,WM Phoenix Open,4
2,Hideki Matsuyama,-16,25,4,18,-3,68,64,68,68,0,100,100,100,2/8/2026 16:10,WM Phoenix Open,4
T3,Akshay Bhatia,-15,25,4,18,-4,68,67,67,67,0,100,100,100,2/8/2026 16:10,WM Phoenix Open,4
T3,Nicolai Hojgaard,-15,25,4,18,-3,66,70,65,68,0,100,100,100,2/8/2026 16:10,WM Phoenix Open,4
T3,Michael Thorbjornsen,-15,25,4,18,-4,66,71,65,67,0,100,100,100,2/8/2026 16:10,WM Phoenix Open,4
T3,Scottie Scheffler,-15,25,4,18,-7,73,65,67,64,0,100,100,100,2/8/2026 16:10,WM Phoenix Open,4
T3,Si Woo Kim,-15,25,4,18,-3,73,62,66,68,0,100,100,100,2/8/2026 16:10,WM Phoenix Open,4
8,Jake Knapp,-14,15,4,18,-3,67,69,66,68,0,0,100,100,2/8/2026 16:10,WM Phoenix Open,4
9,Matt Fitzpatrick,-13,15,4,18,-2,65,70,67,69,0,0,100,100,2/8/2026 16:10,WM Phoenix Open,4
T10,Pierceson Coody,-12,15,4,18,-3,66,68,70,68,0,0,100,100,2/8/2026 16:10,WM Phoenix Open,4
T10,Ryo Hisatsune,-12,15,4,18,0,68,63,70,71,0,0,100,100,2/8/2026 16:10,WM Phoenix Open,4
T10,Viktor Hovland,-12,15,4,18,-3,69,70,65,68,0,0,100,100,2/8/2026 16:10,WM Phoenix Open,4
T13,Kevin Roy,-11,7,4,18,-3,67,69,69,68,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T13,Maverick McNealy,-11,7,4,18,1,67,69,65,72,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T13,Zecheng Dou,-11,7,4,18,-8,72,66,72,63,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T16,Daniel Berger,-10,7,4,18,-6,67,71,71,65,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T16,Jordan Smith,-10,7,4,18,-5,70,70,68,66,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T18,Michael Kim,-9,7,4,18,-4,71,65,72,67,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T18,Sepp Straka,-9,7,4,18,-3,71,69,67,68,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T18,Sahith Theegala,-9,7,4,18,-1,70,65,70,70,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T18,Jacob Bridgeman,-9,7,4,18,-4,71,68,69,67,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T18,Mac Meissner,-9,7,4,18,-4,71,68,69,67,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T18,Rickie Fowler,-9,7,4,18,-4,71,68,69,67,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T24,Kurt Kitayama,-8,7,4,18,-5,69,71,70,66,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T24,Ryan Fox,-8,7,4,18,-3,69,69,70,68,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T24,Rasmus Hojgaard,-8,7,4,18,1,68,70,66,72,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T24,Rico Hoey,-8,7,4,18,-5,71,69,70,66,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T28,Harris English,-7,1,4,18,-3,70,69,70,68,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T28,A.J. Ewart,-7,1,4,18,-3,69,68,72,68,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T28,Nick Taylor,-7,1,4,18,-4,71,68,71,67,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T28,Min Woo Lee,-7,1,4,18,2,71,65,68,73,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T28,Ben Griffin,-7,1,4,18,-1,71,67,69,70,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T28,Stephan Jaeger,-7,1,4,18,1,70,66,69,72,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T28,Mackenzie Hughes,-7,1,4,18,0,68,69,69,71,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T35,Alex Smalley,-6,1,4,18,-2,74,67,68,69,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T35,Sam Stevens,-6,1,4,18,-1,66,70,72,70,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T35,Tom Kim,-6,1,4,18,-3,73,66,71,68,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T35,John Parry,-6,1,4,18,4,69,66,68,75,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T35,Wyndham Clark,-6,1,4,18,-2,73,68,68,69,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T35,J.T. Poston,-6,1,4,18,-4,74,67,70,67,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T41,Cameron Young,-5,1,4,18,0,70,69,69,71,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
T41,Rasmus Neergaard-Petersen,-5,1,4,18,0,67,70,71,71,0,0,0,100,2/8/2026 16:10,WM Phoenix Open,4
