current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Michael Brennan,-22,50,4,18,-6,66,65,63,64,100,100,100,100,8/9/2026 18:04,Wyndham Championship,31
2,Beau Hossler,-19,25,4,18,-3,61,67,66,67,0,100,100,100,8/9/2026 18:04,Wyndham Championship,31
3,Ben James,-18,25,4,18,-9,62,67,72,61,0,100,100,100,8/9/2026 18:04,Wyndham Championship,31
4,Kevin Yu,-16,25,4,18,-4,65,68,65,66,0,100,100,100,8/9/2026 18:04,Wyndham Championship,31
T5,Tom Kim,-15,25,4,18,0,65,67,63,70,0,100,100,100,8/9/2026 18:04,Wyndham Championship,31
T5,Harry Hall,-15,25,4,18,-4,69,66,64,66,0,100,100,100,8/9/2026 18:04,Wyndham Championship,31
T7,Hideki Matsuyama,-14,15,4,18,-4,65,69,66,66,0,0,100,100,8/9/2026 18:04,Wyndham Championship,31
T7,Alex Noren,-14,15,4,18,0,66,65,65,70,0,0,100,100,8/9/2026 18:04,Wyndham Championship,31
T7,Matt Wallace,-14,15,4,18,-5,71,66,64,65,0,0,100,100,8/9/2026 18:04,Wyndham Championship,31
T7,Alex Smalley,-14,15,4,18,0,67,64,65,70,0,0,100,100,8/9/2026 18:04,Wyndham Championship,31
T7,Andrew Novak,-14,15,4,18,-7,68,68,67,63,0,0,100,100,8/9/2026 18:04,Wyndham Championship,31
T12,Billy Horschel,-13,7,4,18,-4,65,66,70,66,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T12,Nico Echavarria,-13,7,4,18,-2,68,69,62,68,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T14,Zach Bauchou,-12,7,4,18,-3,64,69,68,67,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T14,Sungjae Im,-12,7,4,18,-4,67,68,67,66,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T14,Jordan Smith,-12,7,4,18,-1,65,64,70,69,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T14,Davis Thompson,-12,7,4,18,1,64,68,65,71,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T14,Justin Thomas,-12,7,4,18,-4,66,70,66,66,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T19,Doug Ghim,-11,7,4,18,-4,64,67,72,66,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T19,Jordan Spieth,-11,7,4,18,-3,68,69,65,67,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T19,Kevin Roy,-11,7,4,18,-2,68,66,67,68,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T22,Chandler Phillips,-10,7,4,18,-2,67,67,68,68,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T22,David Skinns,-10,7,4,18,0,66,65,69,70,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T22,Jackson Suber,-10,7,4,18,-2,67,65,70,68,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T25,Rico Hoey,-9,7,4,18,-1,66,65,71,69,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T25,Davis Chatfield,-9,7,4,18,-5,69,68,69,65,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T25,Rafael Campos,-9,7,4,18,-2,65,69,69,68,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T25,Maverick McNealy,-9,7,4,18,-6,67,67,73,64,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T29,Mackenzie Hughes,-8,1,4,18,-5,68,67,72,65,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T29,Jackson Koivun,-8,1,4,18,1,67,68,66,71,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T29,Aaron Rai,-8,1,4,18,-3,69,67,69,67,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T29,Tom Hoge,-8,1,4,18,-3,65,67,73,67,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T29,Matt McCarty,-8,1,4,18,-4,66,70,70,66,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T29,Ben Kohles,-8,1,4,18,0,66,71,65,70,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T29,Eric Cole,-8,1,4,18,-1,63,69,71,69,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T29,Denny McCarthy,-8,1,4,18,0,64,68,70,70,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T29,Hayden Springer,-8,1,4,18,-1,64,69,70,69,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T38,Trace Crowe,-7,1,4,18,-3,70,64,72,67,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T38,Taylor Pendrith,-7,1,4,18,-6,66,69,74,64,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T38,Marco Penge,-7,1,4,18,-7,73,63,74,63,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T38,Chad Ramey,-7,1,4,18,-1,66,66,72,69,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
T38,Webb Simpson,-7,1,4,18,1,70,67,65,71,0,0,0,100,8/9/2026 18:04,Wyndham Championship,31
