Pick,Round,Drafter,Player
1,1,Alex,Cameron Young
2,1,Stu,Jackson Koivun
3,1,Dave,Hideki Matsuyama
4,2,Dave,Ryan Gerard
5,2,Stu,Tom Kim
6,2,Alex,Ben Griffin
7,3,Alex,Alex Fitzpatrick
8,3,Stu,Aaron Rai
9,3,Dave,Sungjae Im
10,4,Dave,Maverick McNealy
11,4,Stu,Justin Thomas
12,4,Alex,Mac Meissner
13,5,Alex,Ben Kohles
14,5,Stu,Davis Thompson
15,5,Dave,Harris English
16,6,Dave,Brian Harman
17,6,Stu,Jordan Smith
18,6,Alex,Alex Smalley
19,7,Alex,Eric Cole
20,7,Stu,Ryo Hisatsune
21,7,Dave,Michael Kim
22,8,Alex,William Mouw
23,8,Stu,Matt Kuchar
24,8,Dave,Aldrich Potgieter
