Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,1,1,1,M. Fitzpatrick / A. Fitzpatrick,-31,50,18,,,,,100,100,100,100,16
Stu,18,6,T2,Ventura / Reitan,-30,25,18,,,,,0,100,100,100,16
Alex,20,7,T4,Neergaard-Petersen / Olesen,-28,25,18,,,,,0,100,100,100,16
Stu,7,3,T10,Meissner / McCarty,-26,15,18,,,,,0,0,100,100,16
Alex,2,1,T10,Novak / Griffin,-26,15,18,,,,,0,0,100,100,16
Alex,11,4,T6,Eckroat / Thompson,-27,15,18,,,,,0,0,100,100,16
Alex,23,8,T6,Horschel / Hoge,-27,15,18,,,,,0,0,100,100,16
Stu,6,2,T13,Vilips / Thorbjornsen,-25,7,18,,,,,0,0,0,100,16
Stu,12,4,T20,Moore / Clark,-23,7,18,,,,,0,0,0,100,16
Alex,5,2,T24,Rai / Theegala,-22,7,18,,,,,0,0,0,100,16
Alex,8,3,T30,Wallace / Penge,-20,1,18,,,,,0,0,0,100,16
Alex,14,5,T26,Lipsky / Hoey,-21,1,18,,,,,0,0,0,100,16
Dave,3,1,34,Gerard / Yellamaraju,-17,1,18,,,,,0,0,0,100,16
Dave,15,5,T32,Roy / McGreevy,-19,1,18,,,,,0,0,0,100,16
Stu,13,5,MC,Blair / Fishburn,CUT,0,18,,,,,0,0,0,0,16
Stu,19,7,MC,Finau / Greyserman,CUT,0,18,,,,,0,0,0,0,16
Stu,22,8,MC,Lamprecht / Shipley,CUT,0,18,,,,,0,0,0,0,16
Alex,17,6,MC,Putnam / Smotherman,CUT,0,18,,,,,0,0,0,0,16
Dave,4,2,MC,Lowry / Koepka,CUT,0,18,,,,,0,0,0,0,16
Dave,9,3,MC,Li / Smith,CUT,0,18,,,,,0,0,0,0,16
Dave,10,4,MC,Brennan / Keefer,CUT,0,18,,,,,0,0,0,0,16
Dave,16,6,MC,Hughes / Pendrith,CUT,0,18,,,,,0,0,0,0,16
Dave,21,7,MC,Yu / T. Kim,CUT,0,18,,,,,0,0,0,0,16
Dave,24,8,MC,Brehm / Hubbard,CUT,0,18,,,,,0,0,0,0,16
