Pick,Round,Drafter,Player
1,1,Stu,M. Fitzpatrick / A. Fitzpatrick
2,1,Alex,Novak / Griffin
3,1,Dave,Gerard / Yellamaraju
4,2,Dave,Lowry / Koepka
5,2,Alex,Rai / Theegala
6,2,Stu,Vilips / Thorbjornsen
7,3,Stu,Meissner / McCarty
8,3,Alex,Wallace / Penge
9,3,Dave,Li / Smith
10,4,Dave,Brennan / Keefer
11,4,Alex,Eckroat / Thompson
12,4,Stu,Moore / Clark
13,5,Stu,Blair / Fishburn
14,5,Alex,Lipsky / Hoey
15,5,Dave,Roy / McGreevy
16,6,Dave,Hughes / Pendrith
17,6,Alex,Putnam / Smotherman
18,6,Stu,Ventura / Reitan
19,7,Stu,Finau / Greyserman
20,7,Alex,Neergaard-Petersen / Olesen
21,7,Dave,Yu / T. Kim
22,8,Stu,Lamprecht / Shipley
23,8,Alex,Horschel / Hoge
24,8,Dave,Brehm / Hubbard
