Pick,Round,Drafter,Player
1,1,Dave,Scottie Scheffler
2,1,Alex,Ben Griffin
3,1,Stu,Ludvig Aberg
4,2,Stu,Si Woo Kim
5,2,Alex,Patrick Cantlay
6,2,Dave,Russell Henley
7,3,Dave,Sam Burns
8,3,Alex,Harry Hall
9,3,Stu,Robert MacIntyre
10,4,Stu,Matt Fitzpatrick
11,4,Alex,Michael Thorbjornsen
12,4,Dave,Min Woo Lee
13,5,Dave,Akshay Bhatia
14,5,Alex,Daniel Berger
15,5,Stu,J.T. Poston
16,6,Stu,Ryan Gerard
17,6,Alex,Davis Thompson
18,6,Dave,Nick Taylor
19,7,Dave,Max Greyserman
20,7,Alex,Wyndham Clark
21,7,Stu,Alex Noren
22,8,Dave,Chris Kirk
23,8,Alex,Lee Hodges
24,8,Stu,Vince Whaley
