Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut
Dave,1,1,1,Scottie Scheffler,-27,50,18,63,64,68,66,100,100,100,100
Stu,16,6,T2,Ryan Gerard,-23,25,18,70,66,64,65,0,100,100,100
Stu,4,2,T6,Si Woo Kim,-22,15,18,63,65,66,72,0,0,100,100
Dave,6,2,T8,Russell Henley,-21,15,18,65,66,69,67,0,0,100,100
Alex,5,2,T13,Patrick Cantlay,-20,7,18,63,68,68,69,0,0,0,100
Alex,20,7,T13,Wyndham Clark,-20,7,18,66,64,66,72,0,0,0,100
Alex,2,1,T24,Ben Griffin,-18,7,18,63,68,69,70,0,0,0,100
Alex,8,3,T24,Harry Hall,-18,7,18,72,66,67,65,0,0,0,100
Dave,18,6,T27,Nick Taylor,-17,1,18,65,65,72,69,0,0,0,100
Dave,7,3,T27,Sam Burns,-17,1,18,65,67,68,71,0,0,0,100
Stu,15,5,T38,J.T. Poston,-16,1,18,66,67,65,74,0,0,0,100
Stu,9,3,T38,Robert MacIntyre,-16,1,18,63,72,67,70,0,0,0,100
Dave,12,4,T38,Min Woo Lee,-16,1,18,62,71,69,70,0,0,0,100
Dave,19,7,T56,Max Greyserman,-14,1,18,67,65,71,71,0,0,0,100
Alex,14,5,T56,Daniel Berger,-14,1,18,68,66,70,70,0,0,0,100
Stu,10,4,T63,Matt Fitzpatrick,-13,1,18,69,67,65,74,0,0,0,100
Alex,17,6,CUT,Davis Thompson,-10,0,0,69,68,69,,0,0,0,0
Dave,22,8,CUT,Chris Kirk,-9,0,0,69,69,69,,0,0,0,0
Alex,23,8,CUT,Lee Hodges,-8,0,0,70,71,67,,0,0,0,0
Alex,11,4,CUT,Michael Thorbjornsen,-7,0,0,66,65,78,,0,0,0,0
Stu,21,7,CUT,Alex Noren,-7,0,0,68,69,72,,0,0,0,0
Stu,24,8,CUT,Vince Whaley,-7,0,0,63,77,69,,0,0,0,0
Dave,13,5,CUT,Akshay Bhatia,-1,0,0,68,69,78,,0,0,0,0
Stu,3,1,WD,Ludvig Aberg,0,0,0,68,67,,,0,0,0,0
