Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Dave,Viktor Hovland
3,1,Alex,Rory McIlroy
4,2,Alex,Russell Henley
5,2,Dave,Si Woo Kim
6,2,Stu,Justin Rose
7,3,Stu,Chris Gotterup
8,3,Dave,Tommy Fleetwood
9,3,Alex,Maverick McNealy
10,4,Alex,Cameron Young
11,4,Dave,Robert MacIntyre
12,4,Stu,Patrick Cantlay
13,5,Stu,Jason Day
14,5,Dave,Ben Griffin
15,5,Alex,Matt Fitzpatrick
16,6,Alex,Sepp Straka
17,6,Dave,Jake Knapp
18,6,Stu,Ludvig Aberg
19,7,Stu,Daniel Berger
20,7,Dave,Akshay Bhatia
21,7,Alex,Xander Schauffele
22,8,Stu,Max McGreevy
23,8,Dave,Brian Harman
24,8,Alex,Rico Hoey
