Pick,Round,Drafter,Player
1,1,Alex,Rico Hoey
2,1,Dave,Thorbjorn Olesen
3,1,Stu,Nico Echavarria
4,2,Stu,Patrick Rodgers
5,2,Dave,Matt Kuchar
6,2,Alex,Kevin Yu
7,3,Alex,Vince Whaley
8,3,Dave,Sahith Theegala
9,3,Stu,Seamus Power
10,4,Stu,Pierceson Coody
11,4,Dave,Sami Valimaki
12,4,Alex,Alex Smalley
13,5,Alex,Mark Hubbard
14,5,Dave,Luke Clanton
15,5,Stu,Matti Schmid
16,6,Stu,Justin Lower
17,6,Dave,Takumi Kanaya
18,6,Alex,Sam Ryder
19,7,Alex,Doug Ghim
20,7,Dave,Victor Perez
21,7,Stu,Greyson Sigg
22,8,Alex,Frankie Capan III
23,8,Dave,Blades Brown
24,8,Stu,Rafael Campos
