Pick,Round,Drafter,Player
1,1,Stu,Shane Lowry
2,1,Alex,Michael Thorbjornsen
3,1,Dave,Daniel Berger
4,2,Dave,Ryan Gerard
5,2,Alex,Aaron Rai
6,2,Stu,Thorbjorn Olesen
7,3,Stu,Nicolai Hojgaard
8,3,Alex,Johnny Keefer
9,3,Dave,Keith Mitchell
10,4,Dave,Davis Thompson
11,4,Alex,Max McGreevy
12,4,Stu,Rasmus Hojgaard
13,5,Stu,John Parry
14,5,Alex,Rasmus Neergaard-Petersen
15,5,Dave,Haotong Li
16,6,Dave,Brooks Koepka
17,6,Alex,Max Homa
17,6,Stu,Rico Hoey
19,7,Stu,David Ford
20,7,Alex,Alex Smalley
21,7,Dave,Sami Valimaki
22,8,Stu,Adam Hadwin
23,8,Alex,Karl Vilips
24,8,Dave,Neal Shipley
