Pick,Round,Drafter,Player
1,1,Dave,Ludvig Aberg
2,1,Stu,Xander Schauffele
3,1,Alex,Cameron Young
4,2,Alex,Hideki Matsuyama
5,2,Stu,Jason Day
6,2,Dave,Chris Gotterup
7,3,Dave,Patrick Cantlay
8,3,Stu,Ryan Gerard
9,3,Alex,J.J. Spaun
10,4,Alex,Si Woo Kim
11,4,Stu,Taylor Pendrith
12,4,Dave,Harris English
13,5,Dave,Maverick McNealy
14,5,Stu,Will Zalatoris
15,5,Alex,Jake Knapp
16,6,Alex,Max Homa
17,6,Stu,Keegan Bradley
18,6,Dave,Wyndham Clark
19,7,Dave,Michael Thorbjornsen
20,7,Stu,Sam Stevens
21,7,Alex,Patrick Rodgers
22,8,Dave,Billy Horschel
23,8,Stu,John Parry
24,8,Alex,Lee Hodges
