Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Dave,Tommy Fleetwood
3,1,Alex,Rory McIlroy
4,2,Alex,Patrick Cantlay
5,2,Dave,Hideki Matsuyama
6,2,Stu,Xander Schauffele
7,3,Stu,Chris Gotterup
8,3,Dave,Collin Morikawa
9,3,Alex,Matt Fitzpatrick
10,4,Alex,Russell Henley
11,4,Dave,Jake Knapp
12,4,Stu,Cameron Young
13,5,Stu,Sam Burns
14,5,Dave,Jason Day
15,5,Alex,Ludvig Aberg
16,6,Alex,Max Homa
17,6,Dave,Akshay Bhatia
17,6,Stu,Si Woo Kim
19,7,Stu,Harris English
20,7,Dave,Viktor Hovland
21,7,Alex,Pierceson Coody
22,8,Stu,Tom Hoge
23,8,Dave,Daniel Berger
24,8,Alex,Ryan Fox
