Pick,Round,Drafter,Player
1,1,Alex,Ben Griffin
2,1,Dave,J.J. Spaun
3,1,Stu,Rico Hoey
4,2,Stu,Max Greyserman
5,2,Dave,Mark Hubbard
6,2,Alex,Michael Thorbjornsen
7,3,Alex,Garrick Higgo
8,3,Dave,Thorbjorn Olesen
9,3,Stu,Kevin Yu
10,4,Stu,Michael Brennan
11,4,Dave,Wyndham Clark
12,4,Alex,Nick Taylor
13,5,Alex,Keith Mitchell
14,5,Dave,Pierceson Coody
15,5,Stu,Nico Echavarria
16,6,Stu,Emiliano Grillo
17,6,Dave,Jacob Bridgeman
18,6,Alex,Matt Kuchar
19,7,Alex,Matt Wallace
20,7,Dave,Jesper Svensson
21,7,Stu,Takumi Kanaya
22,8,Alex,Johnny Keefer
23,8,Dave,Stephan Jaeger
24,8,Stu,Austin Eckroat
