Pick,Round,Drafter,Player
1,1,Stu,Ben Griffin
2,1,Alex,J.J. Spaun
3,1,Dave,Max Greyserman
4,2,Dave,Wyndham Clark
5,2,Alex,Rico Hoey
6,2,Stu,Garrick Higgo
7,3,Stu,Michael Thorbjornsen
8,3,Alex,Nico Echavarria
9,3,Dave,Nick Taylor
10,4,Dave,Michael Brennan
11,4,Alex,Kevin Yu
12,4,Stu,Pierceson Coody
13,5,Stu,Takumi Kanaya
14,5,Alex,Stephan Jaeger
15,5,Dave,Keith Mitchell
16,6,Dave,Thorbjorn Olesen
17,6,Alex,Emiliano Grillo
18,6,Stu,Austin Eckroat
19,7,Stu,Erik Van Rooyen
20,7,Alex,Johnny Keefer
21,7,Dave,Jesper Svensson
22,8,Stu,Thomas Rosenmueller
23,8,Alex,Jackson Suber
24,8,Dave,Adam Schenk
