Pick,Round,Drafter,Player
1,1,Dave,Hideki Matsuyama
2,1,Stu,Russell Henley
3,1,Alex,J J Spaun
4,2,Alex,Ben Griffin
5,2,Stu,Si Woo Kim
6,2,Dave,Collin Morikawa
7,3,Dave,Maverick McNealy
8,3,Stu,Robert MacIntyre
9,3,Alex,Harry Hall
10,4,Alex,Aaron Rai
11,4,Stu,Nick Taylor
12,4,Dave,Corey Conners
13,5,Dave,Chris Gotterup
14,5,Stu,Nico Echavarria
15,5,Alex,Chris Kirk
16,6,Alex,Ryan Gerard
17,6,Stu,Matt McCarty
18,6,Dave,Jordan Spieth
19,7,Dave,Kurt Kitayama
20,7,Stu,Rico Hoey
21,7,Alex,Daniel Berger
22,8,Dave,Luke Clanton
23,8,Stu,Keita Nakajima
24,8,Alex,Ryo Hisatsune
