current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Chris Gotterup,-16,50,4,18,-6,63,69,68,64,100,100,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
2,Ryan Gerard,-14,25,4,18,-5,69,64,68,65,0,100,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
3,Patrick Rodgers,-13,25,4,18,-5,66,67,69,65,0,100,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
T4,Jacob Bridgeman,-12,25,4,18,-6,69,68,67,64,0,100,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
T4,Robert MacIntyre,-12,25,4,18,-7,67,71,67,63,0,100,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
T6,Daniel Berger,-11,15,4,18,-6,66,70,69,64,0,0,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
T6,Harry Hall,-11,15,4,18,-1,65,69,66,69,0,0,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
T6,Lee Hodges,-11,15,4,18,-5,70,67,67,65,0,0,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
T6,Davis Riley,-11,15,4,18,1,67,64,67,71,0,0,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
T6,Taylor Pendrith,-11,15,4,18,-6,69,68,68,64,0,0,100,100,1/18/2026 16:50,Sony Open in Hawaii,1
T11,Jake Knapp,-10,7,4,18,-4,66,68,70,66,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
T11,Si Woo Kim,-10,7,4,18,-3,69,66,68,67,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
T13,Kevin Roy,-9,7,4,18,1,62,69,69,71,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
T13,Hideki Matsuyama,-9,7,4,18,-3,69,70,65,67,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
T13,S.H. Kim,-9,7,4,18,-2,63,68,72,68,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
T13,Pierceson Coody,-9,7,4,18,-6,68,70,69,64,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
T13,Sudarshan Yellamaraju,-9,7,4,18,-5,67,67,72,65,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
T13,Nick Taylor,-9,7,4,18,0,62,69,70,70,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
T19,Chandler Phillips,-8,7,4,18,-3,66,69,70,67,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
T19,Ben Griffin,-8,7,4,18,-3,63,71,71,67,0,0,0,100,1/18/2026 16:50,Sony Open in Hawaii,1
