Pick,Round,Drafter,Player
1,1,Alex,Michael Thorbjornsen
2,1,Dave,Maverick McNealy
3,1,Stu,Alex Noren
4,2,Stu,Rico Hoey
5,2,Dave,Kurt Kitayama
6,2,Alex,Davis Thompson
7,3,Alex,Alex Smalley
8,3,Dave,Matt McCarty
9,3,Stu,Jason Day
10,4,Stu,Max Homa
11,4,Dave,William Mouw
12,4,Alex,Ryan Gerard
13,5,Alex,Kevin Yu
14,5,Dave,Emiliano Grillo
15,5,Stu,Mac Meissner
16,6,Stu,Patrick Fishburn
17,6,Dave,Thorbjorn Olesen
18,6,Alex,Stephan Jaeger
19,7,Alex,Sahith Theegala
20,7,Dave,Luke Clanton
21,7,Stu,Aldrich Potgieter
22,8,Alex,Luke List
23,8,Dave,Nick Dunlap
24,8,Stu,Henrik Norlander
